d.in	d.out	r
1.9910179640718564	33.83532934131737	r.132
1.9266467065868262	33.8997005988024	r.133
1.9281437125748504	33.89820359281437	r.134
1.9476047904191616	33.87874251497006	r.135
1.8547904191616766	33.971556886227546	r.136
1.8892215568862276	33.93712574850299	r.137
1.93562874251497	33.89071856287425	r.138
1.8787425149700598	33.94760479041916	r.139
1.9131736526946108	33.91317365269461	r.140
2.001497005988024	33.8248502994012	r.141
1.844311377245509	33.98203592814371	r.142
1.8083832335329342	34.01796407185629	r.143
2.0239520958083834	33.80239520958084	r.144
1.8158682634730539	34.01047904191617	r.145
1.964071856287425	33.862275449101794	r.146
1.9970059880239521	33.82934131736527	r.147
1.937125748502994	33.88922155688623	r.148
1.8383233532934131	33.98802395209581	r.149
1.9251497005988023	33.90119760479042	r.150
1.8937125748502994	33.93263473053892	r.151
1.8517964071856288	33.974550898203596	r.152
1.8592814371257484	33.967065868263475	r.153
1.8278443113772456	33.99850299401198	r.154
1.8338323353293413	33.99251497005988	r.155
1.8158682634730539	34.01047904191617	r.156
1.845808383233533	33.98053892215569	r.157
2.0434131736526946	33.782934131736525	r.158
1.907185628742515	33.91916167664671	r.159
1.9835329341317365	33.84281437125748	r.160
1.9745508982035929	33.85179640718563	r.161
1.81437125748503	34.01197604790419	r.162
1.9505988023952097	33.875748502994014	r.163
1.8383233532934131	33.98802395209581	r.164
1.964071856287425	33.862275449101794	r.165
1.8562874251497006	33.97005988023952	r.166
1.908682634730539	33.91766467065868	r.167
1.9191616766467066	33.90718562874252	r.168
1.8158682634730539	34.01047904191617	r.169
1.8158682634730539	34.01047904191617	r.170
1.9341317365269461	33.89221556886228	r.171
1.8907185628742516	33.93562874251497	r.172
1.9835329341317365	33.84281437125748	r.173
2.029940119760479	33.796407185628745	r.174
1.9491017964071857	33.877245508982035	r.175
1.8592814371257484	33.967065868263475	r.176
1.9625748502994012	33.86377245508982	r.177
1.8383233532934131	33.98802395209581	r.178
1.8982035928143712	33.92814371257485	r.179
1.93562874251497	33.89071856287425	r.180
1.8697604790419162	33.956586826347305	r.181
1.8862275449101797	33.94011976047904	r.182
2.0254491017964074	33.800898203592816	r.183
1.9191616766467066	33.90718562874252	r.184
1.8922155688622755	33.93413173652694	r.185
1.973053892215569	33.85329341317365	r.186
2.0074850299401197	33.8188622754491	r.187
1.901197604790419	33.9251497005988	r.188
1.9311377245508983	33.895209580838326	r.189
2.0793413173652695	33.74700598802395	r.190
1.9236526946107784	33.90269461077844	r.191
2.0494011976047903	33.77694610778443	r.192
1.9281437125748504	33.89820359281437	r.193
1.9565868263473054	33.869760479041915	r.194
1.8577844311377245	33.968562874251496	r.195
1.8952095808383234	33.9311377245509	r.196
1.9805389221556886	33.84580838323353	r.197
1.9176646706586826	33.90868263473054	r.198
1.8577844311377245	33.968562874251496	r.199
1.8652694610778444	33.961077844311376	r.200
1.9940119760479043	33.83233532934132	r.201
1.998502994011976	33.82784431137725	r.202
1.8922155688622755	33.93413173652694	r.203
1.9940119760479043	33.83233532934132	r.204
1.8577844311377245	33.968562874251496	r.205
2.05688622754491	33.76946107784431	r.206
1.907185628742515	33.91916167664671	r.207
1.9311377245508983	33.895209580838326	r.208
1.8877245508982037	33.93862275449102	r.209
1.9146706586826348	33.91167664670659	r.210
1.8832335329341316	33.94311377245509	r.211
1.9251497005988023	33.90119760479042	r.212
1.81437125748503	34.01197604790419	r.213
1.8547904191616766	33.971556886227546	r.214
1.877245508982036	33.949101796407184	r.215
1.910179640718563	33.91616766467066	r.216
1.9520958083832336	33.874251497005986	r.217
1.8263473053892216	34	r.218
1.9266467065868262	33.8997005988024	r.219
1.9251497005988023	33.90119760479042	r.220
1.8997005988023952	33.92664670658683	r.221
2.0104790419161676	33.81586826347306	r.222
1.9311377245508983	33.895209580838326	r.223
1.874251497005988	33.952095808383234	r.224
1.9191616766467066	33.90718562874252	r.225
1.9835329341317365	33.84281437125748	r.226
1.8383233532934131	33.98802395209581	r.227
1.8997005988023952	33.92664670658683	r.228
1.8832335329341316	33.94311377245509	r.229
1.8907185628742516	33.93562874251497	r.230
1.910179640718563	33.91616766467066	r.231
1.968562874251497	33.85778443113772	r.232
1.9610778443113772	33.865269461077844	r.233
